script_id,script_month,hcp_id,rep_id,product_id,region_id,script_count
S0010874,2024-11-01,HCP0290,REP025,P05,R02,2
S0020038,2024-05-01,HCP0540,REP012,P05,R01,3
S0003316,2024-08-01,HCP0088,REP026,P04,R04,8
S0016534,2024-06-01,HCP0444,REP031,P03,R04,1
S0017746,2024-10-01,HCP0477,REP034,P02,R01,6
S0017362,2024-08-01,HCP0466,REP024,P02,R05,9
S0004549,2024-02-01,HCP0120,REP021,P02,R03,4
S0003227,2024-08-01,HCP0085,REP033,P03,R01,3
S0021900,2024-02-01,HCP0592,REP036,P05,R05,1
S0021638,2024-10-01,HCP0586,REP002,P02,R03,2
S0005576,2024-01-01,HCP0148,REP018,P03,R05,0
S0007586,2024-08-01,HCP0202,REP003,P04,R01,6
S0014676,2024-10-01,HCP0393,REP028,P02,R04,2
S0014505,2024-03-01,HCP0388,REP030,P05,R03,6
S0011482,2024-11-01,HCP0306,REP011,P04,R05,3
S0018836,2024-07-01,HCP0506,REP039,P04,R04,7
S0007474,2024-07-01,HCP0199,REP014,P04,R01,9
S0016797,2024-01-01,HCP0451,REP035,P05,R03,0
S0012770,2024-02-01,HCP0339,REP018,P01,R05,4
S0006632,2024-04-01,HCP0174,REP037,P04,R01,4
S0011681,2024-04-01,HCP0311,REP019,P01,R03,5
S0017637,2024-03-01,HCP0474,REP014,P02,R01,4
S0012431,2024-07-01,HCP0329,REP020,P05,R04,1
S0002620,2024-06-01,HCP0068,REP027,P05,R02,6
S0011675,2024-10-01,HCP0310,REP036,P05,R05,3
S0012831,2024-04-01,HCP0340,REP018,P02,R05,5
S0014008,2024-02-01,HCP0372,REP039,P04,R04,4
S0006988,2024-12-01,HCP0185,REP036,P03,R05,3
S0015257,2024-08-01,HCP0410,REP011,P02,R05,2
S0007168,2024-05-01,HCP0190,REP025,P02,R02,9
S0003166,2024-06-01,HCP0083,REP011,P05,R05,5
S0016812,2024-04-01,HCP0452,REP005,P01,R02,4
S0006063,2024-09-01,HCP0160,REP011,P03,R05,1
S0017930,2024-11-01,HCP0482,REP033,P04,R01,2
S0002267,2024-12-01,HCP0060,REP011,P02,R05,2
S0004950,2024-06-01,HCP0130,REP019,P05,R03,1
S0011188,2024-04-01,HCP0299,REP011,P04,R05,4
S0014118,2024-02-01,HCP0376,REP021,P03,R03,0
S0021813,2024-04-01,HCP0590,REP008,P02,R04,11
S0016865,2024-12-01,HCP0453,REP036,P01,R05,2
S0000260,2024-01-01,HCP0008,REP014,P01,R01,5
S0002938,2024-07-01,HCP0077,REP018,P03,R05,6
S0018175,2024-07-01,HCP0490,REP034,P01,R01,5
S0012841,2024-02-01,HCP0341,REP003,P01,R01,6
S0005929,2024-11-01,HCP0157,REP014,P03,R01,0
S0015489,2024-12-01,HCP0415,REP014,P05,R01,1
S0011492,2024-11-01,HCP0306,REP011,P05,R05,4
S0017649,2024-03-01,HCP0474,REP014,P05,R01,4
S0012141,2024-09-01,HCP0322,REP039,P02,R04,5
S0000586,2024-04-01,HCP0016,REP039,P02,R04,3
S0000248,2024-01-01,HCP0007,REP019,P04,R03,9
S0001198,2024-02-01,HCP0032,REP003,P02,R01,6
S0014993,2024-09-01,HCP0403,REP035,P05,R03,2
S0004276,2024-01-01,HCP0113,REP003,P04,R01,1
S0013826,2024-06-01,HCP0368,REP001,P02,R03,6
S0005285,2024-10-01,HCP0140,REP020,P03,R04,3
S0021712,2024-06-01,HCP0587,REP035,P05,R03,1
S0021346,2024-08-01,HCP0576,REP020,P05,R04,3
S0016834,2024-03-01,HCP0452,REP005,P04,R02,8
S0002394,2024-02-01,HCP0062,REP030,P05,R03,1
S0012336,2024-01-01,HCP0327,REP036,P02,R05,2
S0004339,2024-11-01,HCP0115,REP036,P01,R05,1
S0001191,2024-07-01,HCP0032,REP003,P01,R01,7
S0011413,2024-11-01,HCP0304,REP021,P03,R03,4
S0015568,2024-08-01,HCP0417,REP003,P03,R01,9
S0007782,2024-08-01,HCP0208,REP013,P01,R02,3
S0013303,2024-11-01,HCP0353,REP031,P01,R04,9
S0001596,2024-04-01,HCP0043,REP012,P02,R01,7
S0016306,2024-10-01,HCP0438,REP008,P04,R04,3
S0017183,2024-01-01,HCP0462,REP007,P01,R04,4
S0021425,2024-06-01,HCP0579,REP002,P03,R03,7
S0011267,2024-01-01,HCP0301,REP009,P02,R04,4
S0006776,2024-10-01,HCP0179,REP034,P01,R01,9
S0015528,2024-04-01,HCP0416,REP020,P05,R04,1
S0009415,2024-08-01,HCP0251,REP025,P03,R02,3
S0020238,2024-07-01,HCP0546,REP022,P04,R02,5
S0003384,2024-08-01,HCP0090,REP037,P01,R01,1
S0021120,2024-01-01,HCP0570,REP036,P04,R05,13
S0018777,2024-07-01,HCP0505,REP024,P02,R05,1
S0021999,2024-11-01,HCP0595,REP035,P02,R03,5
S0011579,2024-03-01,HCP0308,REP020,P03,R04,6
S0000504,2024-06-01,HCP0014,REP018,P04,R05,6
S0008676,2024-03-01,HCP0231,REP034,P03,R01,3
S0000384,2024-11-01,HCP0011,REP018,P03,R05,5
S0007377,2024-01-01,HCP0196,REP033,P04,R01,20
S0000517,2024-07-01,HCP0014,REP018,P05,R05,2
S0000045,2024-12-01,HCP0001,REP011,P04,R05,4
S0002735,2024-06-01,HCP0072,REP026,P02,R04,1
S0018928,2024-05-01,HCP0509,REP011,P02,R05,4
S0015667,2024-06-01,HCP0421,REP025,P03,R02,1
S0011202,2024-06-01,HCP0299,REP011,P05,R05,4
S0022134,2024-04-01,HCP0597,REP009,P05,R04,1
S0009339,2024-12-01,HCP0249,REP013,P02,R02,2
S0006129,2024-05-01,HCP0162,REP038,P01,R03,5
S0012037,2024-10-01,HCP0319,REP037,P04,R01,2
S0012789,2024-10-01,HCP0339,REP018,P02,R05,6
S0016940,2024-09-01,HCP0455,REP013,P01,R02,5
S0011057,2024-06-01,HCP0295,REP029,P04,R04,1
S0001093,2024-03-01,HCP0029,REP002,P03,R03,5
S0014865,2024-01-01,HCP0399,REP020,P05,R04,3
S0019436,2024-05-01,HCP0524,REP011,P01,R05,0
S0004646,2024-06-01,HCP0123,REP003,P01,R01,5
S0008643,2024-03-01,HCP0230,REP012,P04,R01,5
S0018047,2024-05-01,HCP0485,REP018,P04,R05,5
S0020222,2024-03-01,HCP0546,REP022,P03,R02,5
S0013665,2024-06-01,HCP0363,REP034,P03,R01,5
S0008890,2024-12-01,HCP0236,REP033,P05,R01,2
S0019461,2024-06-01,HCP0524,REP011,P03,R05,6
S0012026,2024-11-01,HCP0319,REP037,P03,R01,3
S0017995,2024-08-01,HCP0484,REP018,P01,R05,3
S0009210,2024-06-01,HCP0245,REP036,P04,R05,1
S0018167,2024-10-01,HCP0489,REP001,P05,R03,5
S0012837,2024-10-01,HCP0340,REP018,P02,R05,8
S0007950,2024-06-01,HCP0211,REP011,P05,R05,2
S0000899,2024-01-01,HCP0023,REP001,P05,R03,0
S0015055,2024-11-01,HCP0405,REP032,P02,R02,8
S0008811,2024-05-01,HCP0235,REP018,P02,R05,4
S0011660,2024-04-01,HCP0310,REP036,P04,R05,3
S0016491,2024-09-01,HCP0443,REP037,P04,R01,1
S0019284,2024-07-01,HCP0520,REP020,P02,R04,1
S0020559,2024-02-01,HCP0555,REP014,P01,R01,4
S0018899,2024-05-01,HCP0508,REP016,P02,R05,3
S0021238,2024-06-01,HCP0573,REP035,P04,R03,6
S0006134,2024-11-01,HCP0162,REP038,P01,R03,2
S0001088,2024-10-01,HCP0029,REP002,P02,R03,2
S0020398,2024-02-01,HCP0550,REP016,P03,R05,6
S0010676,2024-08-01,HCP0285,REP019,P03,R03,2
S0000857,2024-04-01,HCP0022,REP021,P05,R03,4
S0009930,2024-04-01,HCP0265,REP011,P03,R05,3
S0005674,2024-01-01,HCP0151,REP017,P02,R02,4
S0021192,2024-06-01,HCP0572,REP035,P03,R03,3
S0010205,2024-10-01,HCP0273,REP017,P01,R02,7
S0013385,2024-02-01,HCP0355,REP012,P05,R01,1
S0003861,2024-07-01,HCP0101,REP021,P05,R03,2
S0008827,2024-09-01,HCP0235,REP018,P03,R05,2
S0020206,2024-11-01,HCP0546,REP022,P01,R02,1
S0013287,2024-06-01,HCP0352,REP027,P05,R02,1
S0008612,2024-07-01,HCP0230,REP012,P01,R01,2
S0004573,2024-02-01,HCP0120,REP021,P04,R03,1
S0005140,2024-02-01,HCP0137,REP013,P03,R02,3
S0013632,2024-09-01,HCP0362,REP038,P03,R03,4
S0013422,2024-05-01,HCP0356,REP034,P05,R01,1
S0000448,2024-09-01,HCP0013,REP037,P03,R01,0
S0002333,2024-11-01,HCP0061,REP021,P04,R03,2
S0021534,2024-09-01,HCP0582,REP011,P05,R05,2
S0014565,2024-11-01,HCP0389,REP024,P05,R05,1
S0008770,2024-11-01,HCP0234,REP021,P02,R03,2
S0020042,2024-10-01,HCP0540,REP012,P05,R01,1
S0000475,2024-01-01,HCP0014,REP018,P02,R05,3
S0000135,2024-03-01,HCP0004,REP036,P03,R05,6
S0000222,2024-08-01,HCP0006,REP033,P05,R01,2
S0002782,2024-09-01,HCP0073,REP011,P01,R05,1
S0017789,2024-08-01,HCP0478,REP020,P04,R04,9
S0007135,2024-08-01,HCP0188,REP034,P05,R01,2
S0013725,2024-07-01,HCP0364,REP021,P05,R03,2
S0002528,2024-12-01,HCP0065,REP036,P04,R05,0
S0021056,2024-07-01,HCP0569,REP005,P01,R02,9
S0014781,2024-08-01,HCP0395,REP007,P05,R04,4
S0006926,2024-03-01,HCP0184,REP014,P03,R01,3
S0021068,2024-08-01,HCP0569,REP005,P02,R02,8
S0004032,2024-04-01,HCP0106,REP027,P04,R02,10
S0016287,2024-03-01,HCP0438,REP008,P02,R04,4
S0004069,2024-05-01,HCP0107,REP036,P04,R05,3
S0008194,2024-01-01,HCP0219,REP021,P03,R03,4
S0013326,2024-11-01,HCP0353,REP031,P04,R04,5
S0017287,2024-01-01,HCP0464,REP014,P04,R01,5
S0011144,2024-04-01,HCP0298,REP018,P03,R05,1
S0006281,2024-05-01,HCP0166,REP010,P02,R02,3
S0001064,2024-10-01,HCP0027,REP004,P03,R02,0
S0008618,2024-01-01,HCP0230,REP012,P02,R01,5
S0004187,2024-11-01,HCP0111,REP030,P01,R03,2
S0014295,2024-05-01,HCP0382,REP034,P03,R01,4
S0018360,2024-05-01,HCP0494,REP034,P05,R01,5
S0017490,2024-06-01,HCP0469,REP026,P05,R04,1
S0008009,2024-03-01,HCP0213,REP023,P03,R04,4
S0000279,2024-08-01,HCP0008,REP014,P04,R01,6
S0006000,2024-04-01,HCP0158,REP029,P05,R04,1
S0017653,2024-07-01,HCP0474,REP014,P05,R01,2
S0014592,2024-04-01,HCP0391,REP025,P02,R02,1
S0006073,2024-08-01,HCP0160,REP011,P04,R05,7
S0014714,2024-01-01,HCP0394,REP004,P04,R02,22
S0016077,2024-11-01,HCP0431,REP036,P02,R05,2
S0014836,2024-07-01,HCP0398,REP023,P02,R04,0
S0004473,2024-07-01,HCP0118,REP034,P02,R01,18
S0008919,2024-06-01,HCP0237,REP003,P03,R01,4
S0022250,2024-02-01,HCP0600,REP038,P05,R03,2
S0000641,2024-05-01,HCP0017,REP011,P02,R05,6
S0015861,2024-06-01,HCP0425,REP003,P03,R01,7
S0003785,2024-09-01,HCP0099,REP034,P03,R01,2
S0014522,2024-10-01,HCP0389,REP024,P01,R05,4
S0003317,2024-09-01,HCP0088,REP026,P04,R04,4
S0004044,2024-04-01,HCP0106,REP027,P05,R02,3
S0002767,2024-05-01,HCP0072,REP026,P05,R04,2
S0018201,2024-04-01,HCP0490,REP034,P04,R01,0
S0019204,2024-08-01,HCP0518,REP036,P01,R05,4
S0018321,2024-10-01,HCP0493,REP036,P05,R05,2
S0011355,2024-09-01,HCP0303,REP035,P02,R03,1
S0018807,2024-02-01,HCP0506,REP039,P02,R04,7
S0004154,2024-09-01,HCP0110,REP003,P01,R01,1
S0018060,2024-07-01,HCP0487,REP005,P02,R02,2
S0005351,2024-05-01,HCP0142,REP027,P04,R02,10
S0000218,2024-12-01,HCP0006,REP033,P03,R01,1
S0010935,2024-06-01,HCP0292,REP020,P03,R04,3
S0007589,2024-11-01,HCP0202,REP003,P04,R01,6
S0015727,2024-11-01,HCP0422,REP039,P03,R04,4
S0016119,2024-01-01,HCP0433,REP001,P03,R03,3
S0011779,2024-10-01,HCP0312,REP002,P04,R03,8
S0003214,2024-07-01,HCP0085,REP033,P02,R01,5
S0019328,2024-06-01,HCP0521,REP024,P01,R05,2
S0004179,2024-03-01,HCP0111,REP030,P01,R03,2
S0005218,2024-03-01,HCP0139,REP017,P03,R02,11
S0006492,2024-02-01,HCP0171,REP036,P02,R05,2
S0005406,2024-12-01,HCP0143,REP010,P03,R02,5
S0009752,2024-09-01,HCP0259,REP028,P04,R04,4
S0000719,2024-03-01,HCP0019,REP005,P02,R02,6
S0011196,2024-12-01,HCP0299,REP011,P04,R05,5
S0016012,2024-12-01,HCP0429,REP034,P01,R01,2
S0009407,2024-11-01,HCP0250,REP011,P05,R05,4
S0008658,2024-08-01,HCP0230,REP012,P05,R01,3
S0014459,2024-05-01,HCP0387,REP008,P02,R04,4
S0011156,2024-07-01,HCP0298,REP018,P05,R05,1
S0005926,2024-08-01,HCP0157,REP014,P03,R01,2
S0007616,2024-02-01,HCP0203,REP021,P03,R03,1
S0011108,2024-03-01,HCP0296,REP011,P05,R05,0
S0008046,2024-12-01,HCP0214,REP036,P03,R05,2
S0011150,2024-12-01,HCP0298,REP018,P03,R05,3
S0002343,2024-10-01,HCP0061,REP021,P05,R03,1
S0010520,2024-04-01,HCP0281,REP026,P05,R04,2
S0000689,2024-08-01,HCP0018,REP011,P03,R05,5
S0003644,2024-05-01,HCP0095,REP033,P04,R01,9
S0008507,2024-07-01,HCP0227,REP011,P02,R05,5
S0018569,2024-08-01,HCP0500,REP033,P01,R01,4
S0004344,2024-04-01,HCP0116,REP014,P01,R01,2
S0009653,2024-03-01,HCP0257,REP007,P04,R04,1
S0016114,2024-08-01,HCP0433,REP001,P01,R03,3
S0019446,2024-03-01,HCP0524,REP011,P02,R05,1
S0003827,2024-06-01,HCP0101,REP021,P01,R03,3
S0012790,2024-11-01,HCP0339,REP018,P02,R05,1
S0003342,2024-12-01,HCP0089,REP011,P01,R05,6
S0013271,2024-12-01,HCP0352,REP027,P02,R02,1
S0006551,2024-01-01,HCP0172,REP003,P04,R01,1
S0001714,2024-09-01,HCP0045,REP011,P05,R05,3
S0005130,2024-04-01,HCP0137,REP013,P02,R02,2
S0001413,2024-10-01,HCP0038,REP036,P02,R05,3
S0022149,2024-09-01,HCP0598,REP035,P03,R03,3
S0014157,2024-10-01,HCP0377,REP003,P04,R01,7
S0014988,2024-03-01,HCP0403,REP035,P05,R03,2
S0013371,2024-10-01,HCP0354,REP001,P05,R03,1
S0008981,2024-01-01,HCP0238,REP036,P05,R05,3
S0015303,2024-08-01,HCP0411,REP038,P02,R03,1
S0010807,2024-12-01,HCP0289,REP038,P01,R03,3
S0008798,2024-03-01,HCP0234,REP021,P05,R03,3
S0020316,2024-03-01,HCP0548,REP008,P02,R04,7
S0018277,2024-07-01,HCP0492,REP007,P04,R04,3
S0008982,2024-03-01,HCP0238,REP036,P05,R05,1
S0005889,2024-01-01,HCP0156,REP021,P05,R03,3
S0002335,2024-01-01,HCP0061,REP021,P05,R03,4
S0016676,2024-10-01,HCP0449,REP020,P01,R04,12
S0015915,2024-12-01,HCP0426,REP005,P02,R02,6
S0014316,2024-02-01,HCP0383,REP026,P05,R04,3
S0018679,2024-06-01,HCP0502,REP033,P04,R01,1
S0020769,2024-08-01,HCP0561,REP021,P05,R03,4
S0001685,2024-02-01,HCP0044,REP011,P05,R05,0
S0004297,2024-10-01,HCP0114,REP028,P02,R04,7
S0003123,2024-07-01,HCP0082,REP034,P04,R01,2
S0017664,2024-06-01,HCP0475,REP020,P01,R04,8
S0021860,2024-04-01,HCP0591,REP001,P03,R03,4
S0008049,2024-04-01,HCP0214,REP036,P04,R05,1
S0005460,2024-09-01,HCP0145,REP029,P04,R04,3
S0014286,2024-08-01,HCP0382,REP034,P01,R01,9
S0008356,2024-08-01,HCP0223,REP017,P04,R02,9
S0005585,2024-11-01,HCP0148,REP018,P03,R05,4
S0000564,2024-06-01,HCP0015,REP003,P05,R01,1
S0016314,2024-06-01,HCP0438,REP008,P05,R04,2
S0021748,2024-07-01,HCP0588,REP020,P03,R04,8
S0003427,2024-06-01,HCP0090,REP037,P05,R01,2
S0002251,2024-08-01,HCP0060,REP011,P01,R05,2
S0011141,2024-01-01,HCP0298,REP018,P03,R05,3
S0008454,2024-12-01,HCP0225,REP020,P04,R04,11
S0006591,2024-09-01,HCP0173,REP036,P05,R05,1
S0010200,2024-05-01,HCP0273,REP017,P01,R02,14
S0006519,2024-05-01,HCP0172,REP003,P01,R01,3
S0007568,2024-10-01,HCP0201,REP018,P04,R05,0
S0007576,2024-09-01,HCP0201,REP018,P05,R05,1
S0020549,2024-04-01,HCP0554,REP033,P04,R01,10
S0012383,2024-03-01,HCP0328,REP007,P04,R04,5
S0019511,2024-09-01,HCP0525,REP030,P03,R03,5
S0017347,2024-04-01,HCP0466,REP024,P01,R05,4
S0009774,2024-07-01,HCP0261,REP018,P01,R05,3
S0021158,2024-03-01,HCP0571,REP021,P03,R03,7
S0007794,2024-08-01,HCP0208,REP013,P02,R02,6
S0009225,2024-09-01,HCP0245,REP036,P05,R05,2
S0008311,2024-10-01,HCP0222,REP017,P04,R02,10
S0003001,2024-11-01,HCP0079,REP008,P01,R04,11
S0011896,2024-07-01,HCP0316,REP013,P04,R02,6
S0000424,2024-07-01,HCP0012,REP018,P03,R05,2
S0007669,2024-04-01,HCP0205,REP021,P02,R03,8
S0013536,2024-07-01,HCP0360,REP037,P02,R01,1
S0004875,2024-08-01,HCP0129,REP035,P01,R03,2
S0013554,2024-01-01,HCP0360,REP037,P04,R01,7
S0015695,2024-11-01,HCP0421,REP025,P05,R02,1
S0018294,2024-02-01,HCP0493,REP036,P01,R05,6
S0010813,2024-07-01,HCP0289,REP038,P02,R03,2
S0016958,2024-04-01,HCP0455,REP013,P03,R02,1
S0013571,2024-06-01,HCP0360,REP037,P05,R01,1
S0014772,2024-11-01,HCP0395,REP007,P04,R04,3
S0007485,2024-08-01,HCP0199,REP014,P05,R01,3
S0013657,2024-10-01,HCP0363,REP034,P02,R01,1
S0010164,2024-04-01,HCP0271,REP029,P04,R04,7
S0003700,2024-09-01,HCP0097,REP016,P03,R05,1
S0012786,2024-07-01,HCP0339,REP018,P02,R05,1
S0006188,2024-02-01,HCP0163,REP019,P03,R03,2
S0020055,2024-01-01,HCP0541,REP024,P03,R05,6
S0013825,2024-05-01,HCP0368,REP001,P02,R03,10
S0008736,2024-11-01,HCP0233,REP018,P01,R05,2
S0010501,2024-09-01,HCP0281,REP026,P02,R04,4
S0019310,2024-10-01,HCP0520,REP020,P04,R04,7
S0003474,2024-09-01,HCP0091,REP001,P04,R03,4
S0001036,2024-06-01,HCP0027,REP004,P01,R02,5
S0000867,2024-02-01,HCP0023,REP001,P01,R03,8
S0016061,2024-03-01,HCP0431,REP036,P01,R05,4
S0008744,2024-07-01,HCP0233,REP018,P05,R05,1
S0004506,2024-04-01,HCP0119,REP007,P01,R04,13
S0009792,2024-02-01,HCP0261,REP018,P04,R05,2
S0014796,2024-12-01,HCP0396,REP018,P03,R05,1
S0005514,2024-05-01,HCP0146,REP020,P04,R04,3
S0005654,2024-03-01,HCP0150,REP026,P03,R04,14
S0013173,2024-06-01,HCP0349,REP036,P05,R05,2
S0003888,2024-10-01,HCP0102,REP031,P02,R04,15
S0001941,2024-02-01,HCP0052,REP036,P04,R05,9
S0001399,2024-08-01,HCP0038,REP036,P01,R05,1
S0017971,2024-07-01,HCP0483,REP008,P04,R04,11
S0018925,2024-02-01,HCP0509,REP011,P02,R05,4
S0008396,2024-12-01,HCP0224,REP017,P04,R02,5
S0012257,2024-04-01,HCP0325,REP024,P03,R05,1
S0008281,2024-02-01,HCP0222,REP017,P01,R02,11
S0011032,2024-03-01,HCP0294,REP013,P05,R02,3
S0011823,2024-08-01,HCP0314,REP029,P03,R04,4
S0011263,2024-09-01,HCP0301,REP009,P01,R04,4
S0003048,2024-11-01,HCP0080,REP019,P01,R03,2
S0010792,2024-08-01,HCP0288,REP022,P05,R02,5
S0000200,2024-04-01,HCP0006,REP033,P01,R01,2
S0016721,2024-08-01,HCP0450,REP011,P01,R05,5
S0005072,2024-04-01,HCP0134,REP037,P04,R01,10
S0015651,2024-01-01,HCP0421,REP025,P02,R02,3
S0021913,2024-07-01,HCP0593,REP037,P01,R01,14
S0021132,2024-01-01,HCP0570,REP036,P05,R05,1
S0015186,2024-10-01,HCP0408,REP012,P03,R01,4
S0003426,2024-05-01,HCP0090,REP037,P05,R01,3
S0014411,2024-01-01,HCP0386,REP028,P02,R04,2
S0014421,2024-01-01,HCP0386,REP028,P03,R04,1
S0005307,2024-09-01,HCP0141,REP002,P01,R03,1
S0017192,2024-10-01,HCP0462,REP007,P01,R04,5
S0004346,2024-06-01,HCP0116,REP014,P01,R01,4
S0021938,2024-09-01,HCP0593,REP037,P05,R01,2
S0019849,2024-05-01,HCP0536,REP023,P01,R04,1
S0006914,2024-11-01,HCP0183,REP036,P01,R05,4
S0008871,2024-05-01,HCP0236,REP033,P04,R01,2
S0020787,2024-02-01,HCP0562,REP007,P02,R04,5
S0017873,2024-11-01,HCP0481,REP026,P02,R04,3
S0014922,2024-03-01,HCP0401,REP007,P03,R04,2
S0010399,2024-01-01,HCP0279,REP033,P01,R01,4
S0019953,2024-06-01,HCP0538,REP011,P05,R05,1
S0008973,2024-04-01,HCP0238,REP036,P04,R05,2
S0000292,2024-09-01,HCP0009,REP027,P02,R02,3
S0006533,2024-07-01,HCP0172,REP003,P02,R01,5
S0014429,2024-09-01,HCP0386,REP028,P03,R04,3
S0016436,2024-02-01,HCP0442,REP021,P01,R03,7
S0009164,2024-05-01,HCP0243,REP028,P02,R04,7
S0001312,2024-01-01,HCP0035,REP005,P05,R02,11
S0003927,2024-01-01,HCP0103,REP005,P03,R02,2
S0005216,2024-01-01,HCP0139,REP017,P03,R02,7
S0000548,2024-02-01,HCP0015,REP003,P03,R01,2
S0001535,2024-10-01,HCP0041,REP037,P05,R01,1
S0014726,2024-01-01,HCP0394,REP004,P05,R02,5
S0002230,2024-11-01,HCP0059,REP010,P04,R02,5
S0021775,2024-12-01,HCP0588,REP020,P05,R04,3
S0017211,2024-05-01,HCP0462,REP007,P04,R04,4
S0018340,2024-06-01,HCP0494,REP034,P02,R01,3
S0021328,2024-01-01,HCP0576,REP020,P04,R04,5
S0015504,2024-03-01,HCP0416,REP020,P03,R04,11
S0013063,2024-10-01,HCP0346,REP026,P04,R04,4
S0000370,2024-07-01,HCP0011,REP018,P02,R05,9
S0014186,2024-01-01,HCP0378,REP011,P04,R05,1
S0009401,2024-04-01,HCP0250,REP011,P05,R05,1
S0002409,2024-05-01,HCP0063,REP035,P02,R03,2
S0015608,2024-03-01,HCP0419,REP018,P04,R05,7
S0009295,2024-11-01,HCP0247,REP036,P02,R05,1
S0009971,2024-10-01,HCP0266,REP011,P03,R05,3
S0006742,2024-10-01,HCP0178,REP003,P01,R01,4
S0010348,2024-05-01,HCP0277,REP019,P02,R03,3
S0009940,2024-02-01,HCP0265,REP011,P04,R05,3
S0007116,2024-11-01,HCP0188,REP034,P03,R01,2
S0011921,2024-10-01,HCP0317,REP014,P02,R01,7
S0003512,2024-03-01,HCP0092,REP003,P05,R01,1
S0000736,2024-09-01,HCP0019,REP005,P03,R02,4
S0004581,2024-11-01,HCP0120,REP021,P04,R03,4
S0003610,2024-05-01,HCP0095,REP033,P01,R01,11
S0018503,2024-01-01,HCP0498,REP020,P03,R04,9
S0015102,2024-02-01,HCP0406,REP017,P04,R01,3
S0007709,2024-02-01,HCP0206,REP039,P03,R04,7
S0013527,2024-10-01,HCP0360,REP037,P01,R01,3
S0003419,2024-09-01,HCP0090,REP037,P04,R01,0
S0001643,2024-05-01,HCP0044,REP011,P01,R05,1
S0021461,2024-06-01,HCP0580,REP037,P02,R01,2
S0020949,2024-02-01,HCP0566,REP034,P02,R01,2
S0011083,2024-09-01,HCP0296,REP011,P01,R05,3
