call_id,rep_id,hcp_id,call_date,call_type,duration_min
C002174,REP010,HCP0352,30-Nov-2024,Phone,
C003405,REP016,HCP0252,06/07/2024,Virtual,11.8
C000096,REP001,HCP0362,04-Mar-2024,Phone,8.3
C004092,REP020,HCP0269,2024-11-30,  Virtual,
C004451,REP021,HCP0366,15-Jul-2024,In-Person,17.5
C004804,REP022,HCP0096,2024-06-06,In-Person,
C006438,REP029,HCP0047,2024-08-15,In-Person,32.4
C004481,REP021,HCP0175,14-Mar-2024,In-Person,18.6
C007334,REP033,HCP0021,03/18/2024,  In-Person,15.2
C000223,REP001,HCP0433,2024-05-12,Virtual,22.6
C008734,REP040,HCP0096,2024-08-21,In-Person,15.5
C007667,REP035,HCP0511,2024-09-26,Virtual,28.3
C006075,REP027,HCP0139,05/30/2024,In-Person,15.1
C008253,REP037,HCP0491,07/23/2024,In-Person,16.4
C005699,REP026,HCP0348,2024-09-29,In-Person,7.8
C002586,REP012,HCP0125,2024-01-27,In-Person,21.8
C002234,REP011,HCP0044,2024-08-05,  In-Person,30.3
C004962,REP022,HCP0166,01-May-2024,In-Person ,21.7
C004587,REP021,HCP0549,04/08/2024,Phone,9.5
C000287,REP002,HCP0076,09/30/2024,In-Person,17.5
C003144,REP015,HCP0142,08-Apr-2024,In-Person,14.0
C003099,REP014,HCP0447,02/14/2024,Virtual,16.3
C005142,REP023,HCP0314,2024-08-01,In-Person,20.3
C000764,REP004,HCP0151,09/19/2024,Phone,20.1
C007290,REP033,HCP0377,07/31/2024,In-Person,13.8
C000625,REP003,HCP0153,03-Aug-2024,Virtual,11.3
C004056,REP019,HCP0060,24-Jan-2024,Phone,20.7
C001722,REP008,HCP0522,07/30/2024,In-Person,17.2
C004938,REP022,HCP0222,2024-09-06,In-Person,12.2
C005615,REP026,HCP0158,2024-07-07,Virtual,14.2
C004113,REP020,HCP0297,05/09/2024,Phone,15.6
C003032,REP014,HCP0076,2024-04-16,In-Person,6.0
C003533,REP017,HCP0182,2024-09-21,In-Person,13.9
C006644,REP030,HCP0595,07/18/2024,In-Person,2.0
C005930,REP027,HCP0106,2024-05-15,In-Person,13.3
C007362,REP034,HCP0474,2024-04-21,Virtual,14.0
C007497,REP034,HCP0099,11/20/2024,In-Person,16.1
C006728,REP031,HCP0427,2024-03-14,In-Person,9.2
C001415,REP007,HCP0339,2024-04-18,Phone,20.6
C000322,REP002,HCP0234,2024-02-10,Virtual,22.0
C006211,REP028,HCP0117,02/27/2024,In-Person,26.6
C002116,REP010,HCP0503,2024-02-23,In-Person,18.7
C003545,REP017,HCP0181,2024-11-07,In-Person,23.3
C003521,REP017,HCP0251,2024-01-05,In-Person,13.7
C002459,REP012,HCP0363,11/06/2024,Phone,8.8
C005977,REP027,HCP0068,2024-01-30,In-Person,11.8
C007637,REP035,HCP0418,07-Mar-2024,Virtual,15.7
C002808,REP013,HCP0402,12/26/2024,Virtual,20.7
C005466,REP025,HCP0181,09/19/2024,In-Person,14.5
C001176,REP006,HCP0181,08/17/2024,  In-Person,19.8
C002158,REP010,HCP0497,02-Feb-2024,In-Person ,22.4
C007108,REP032,HCP0394,09-Oct-2024,In-Person,
C002374,REP011,HCP0122,2024-12-31,In-Person,15.7
C006891,REP031,HCP0469,2024-02-05,Virtual,
C008596,REP039,HCP0423,10/12/2024,In-Person,17.5
C008012,REP036,HCP0493,09/17/2024,In-Person,20.9
C003211,REP015,HCP0569,07-Jan-2024,In-Person,29.4
C004658,REP021,HCP0357,05/06/2024,In-Person,19.6
C001374,REP007,HCP0358,2024-10-13,In-Person,20.4
C002749,REP013,HCP0405,02-Apr-2024,In-Person,20.2
C002247,REP011,HCP0491,03-Oct-2024,In-Person,25.4
C008264,REP037,HCP0482,14-Oct-2024,Virtual,13.6
C004316,REP020,HCP0146,08-Jul-2024,In-Person,10.2
C004372,REP020,HCP0058,15-Oct-2024,In-Person,22.0
C001314,REP006,HCP0573,02/28/2024,In-Person,25.5
C001808,REP009,HCP0506,30-Oct-2024,In-Person,11.5
C002128,REP010,HCP0283,2024-08-02,In-Person,14.0
C004996,REP023,HCP0187,09/04/2024,In-Person,5.9
C003709,REP018,HCP0108,06/05/2024,  In-Person,6.6
C001946,REP009,HCP0028,15-Oct-2024,Virtual ,19.9
C001510,REP007,HCP0506,08/07/2024,In-Person,21.6
C000683,REP004,HCP0309,2024-09-01,Phone,9.6
C007046,REP032,HCP0101,2024-12-11,Virtual,
C006703,REP030,HCP0533,06/12/2024,In-Person,11.5
C008784,REP040,HCP0414,2024-06-23,In-Person,5.0
C007689,REP035,HCP0412,08/19/2024,In-Person,17.8
C000519,REP003,HCP0413,06-Jan-2024,Virtual,18.5
C006505,REP030,HCP0561,2024-09-29,Virtual,17.9
C003255,REP015,HCP0263,2024-03-19,In-Person,6.9
C004825,REP022,HCP0400,12/17/2024,Phone,11.7
C002009,REP010,HCP0322,2024-05-02,Phone,17.2
C004307,REP020,HCP0416,09/03/2024,Phone,18.4
C000909,REP005,HCP0470,29-Feb-2024,Virtual,15.6
C008321,REP037,HCP0434,18-Aug-2024,In-Person,26.6
C000268,REP002,HCP0091,06-Apr-2024,In-Person,23.9
C002944,REP014,HCP0501,27-Dec-2024,Virtual,
C008342,REP037,HCP0514,2024-09-14,In-Person,22.4
C006937,REP032,HCP0035,04/05/2024,In-Person,18.5
C006408,REP029,HCP0080,29-Aug-2024,Virtual,27.1
C001531,REP007,HCP0386,01/26/2024,Phone,24.6
C004743,REP022,HCP0181,03/30/2024,Virtual,16.2
C006351,REP029,HCP0590,27-Nov-2024,Virtual,30.5
C006594,REP030,HCP0600,11/11/2024,  Virtual,15.8
C006042,REP027,HCP0151,01/08/2024,Virtual ,9.2
C006320,REP029,HCP0314,2024-08-20,In-Person,6.9
C006765,REP031,HCP0481,08/30/2024,Virtual,
C001077,REP005,HCP0309,15-May-2024,In-Person,20.4
C001651,REP008,HCP0381,2024-07-11,Phone,18.1
C006612,REP030,HCP0532,29-Dec-2024,In-Person,5.3
C003151,REP015,HCP0006,2024-02-12,In-Person,14.8
C008262,REP037,HCP0297,11/13/2024,In-Person,25.0
C002496,REP012,HCP0048,2024-07-22,Virtual,13.1
C005794,REP026,HCP0401,2024-02-29,In-Person ,26.2
C004126,REP020,HCP0051,2024-05-25,In-Person,13.6
C003523,REP017,HCP0068,04-Sep-2024,Virtual,25.2
C008745,REP040,HCP0478,06-Feb-2024,  In-Person,11.4
C003932,REP019,HCP0353,2024-09-19,In-Person,2.0
C001551,REP007,HCP0269,27-Jan-2024,Virtual,17.2
C004255,REP020,HCP0322,2024-10-04,Virtual,28.3
C002885,REP013,HCP0352,27-Jul-2024,Virtual,24.0
C004693,REP021,HCP0101,27-May-2024,In-Person,18.9
C006691,REP030,HCP0424,07/07/2024,Virtual,8.3
C001331,REP006,HCP0146,2024-10-13,Phone,19.9
C003380,REP016,HCP0060,2024-11-30,In-Person,4.1
C001220,REP006,HCP0177,2024-08-26,Phone,6.0
C008473,REP038,HCP0262,06/10/2024,In-Person,
C004589,REP021,HCP0388,05/11/2024,In-Person,
C000648,REP003,HCP0486,04/23/2024,Virtual,21.6
C004206,REP020,HCP0329,30-Aug-2024,In-Person,19.8
C004926,REP022,HCP0232,2024-10-22,In-Person,2.6
C007204,REP033,HCP0363,20-Jan-2024,In-Person,18.6
C005678,REP026,HCP0140,22-Sep-2024,Phone,16.2
C003704,REP018,HCP0209,22-Dec-2024,Virtual,22.8
C007767,REP035,HCP0222,23-May-2024,In-Person,26.4
C008237,REP037,HCP0189,21-Sep-2024,Phone,17.8
C006469,REP030,HCP0150,13-Jan-2024,Phone,22.7
C005689,REP026,HCP0481,2024-12-08,Virtual,18.4
C008300,REP037,HCP0473,2024-03-23,Virtual,13.7
C007238,REP033,HCP0437,24-Sep-2024,Virtual,18.6
C000737,REP004,HCP0223,04/11/2024,Virtual ,18.0
C000765,REP004,HCP0464,01/16/2024,Virtual,15.3
C003065,REP014,HCP0148,2024-02-23,Phone,33.2
C004324,REP020,HCP0140,15-Apr-2024,In-Person,17.7
C006754,REP031,HCP0197,10-Jul-2024,In-Person,18.3
C000081,REP001,HCP0300,06-Nov-2024,Virtual,15.4
C008591,REP039,HCP0033,2024-05-21,Virtual,26.9
C002007,REP010,HCP0455,01/27/2024,In-Person,14.0
C006367,REP029,HCP0308,10-Jul-2024,In-Person,11.3
C000867,REP005,HCP0175,08/29/2024,Virtual,14.0
C004116,REP020,HCP0146,03/01/2024,Virtual,15.0
C006917,REP032,HCP0497,08-Jul-2024,In-Person,3.2
C005994,REP027,HCP0559,02-Jun-2024,In-Person,14.9
C005665,REP026,HCP0341,06-Jul-2024,In-Person,17.0
C000719,REP004,HCP0511,04/27/2024,In-Person,20.5
C007231,REP033,HCP0025,24-Sep-2024,In-Person,32.7
C004995,REP023,HCP0328,03/31/2024,In-Person,22.1
C001795,REP009,HCP0297,08/24/2024,In-Person,19.7
C006297,REP029,HCP0297,2024-01-02,Virtual,12.6
C007055,REP032,HCP0584,21-Dec-2024,  In-Person,16.3
C000512,REP003,HCP0113,02/23/2024,In-Person,13.4
C002689,REP013,HCP0177,02/19/2024,Phone,18.1
C002150,REP010,HCP0192,2024-08-15,Virtual,
C001058,REP005,HCP0263,2024-06-10,In-Person,21.2
C003027,REP014,HCP0074,02/09/2024,In-Person,14.0
C000587,REP003,HCP0158,04/20/2024,Phone,2.0
C005255,REP024,HCP0342,2024-12-23,In-Person,26.6
C005595,REP026,HCP0145,2024-03-14,In-Person,25.0
C002068,REP010,HCP0421,05/03/2024,In-Person,17.1
C008177,REP037,HCP0037,17-Apr-2024,Virtual,4.1
C005928,REP027,HCP0487,05/12/2024,Virtual,9.6
C006916,REP032,HCP0569,2024-01-06,In-Person,24.8
C007037,REP032,HCP0513,25-Jul-2024,In-Person,20.6
C007905,REP036,HCP0344,11/15/2024,In-Person,19.9
C008575,REP039,HCP0390,2024-04-19,Virtual ,12.0
C004939,REP022,HCP0027,03-Dec-2024,In-Person,25.8
C001919,REP009,HCP0218,2024-11-16,Virtual,
C004479,REP021,HCP0561,07/16/2024,In-Person,15.2
C004964,REP022,HCP0421,08-Mar-2024,In-Person,15.5
C007755,REP035,HCP0205,03/26/2024,In-Person,10.2
C006712,REP030,HCP0163,17-Feb-2024,In-Person,
C008009,REP036,HCP0185,13-Oct-2024,Phone,24.8
C000108,REP001,HCP0545,12/04/2024,Virtual,13.1
C005895,REP027,HCP0249,29-Oct-2024,In-Person,27.2
C000240,REP002,HCP0307,2024-02-28,  In-Person,10.2
C001223,REP006,HCP0550,20-Jul-2024,In-Person,18.7
C004817,REP022,HCP0270,2024-06-07,In-Person,15.7
C007452,REP034,HCP0179,11/07/2024,Virtual,25.1
C002642,REP013,HCP0056,18-Apr-2024,Virtual,25.1
C006072,REP027,HCP0263,10/29/2024,In-Person,26.5
C007603,REP035,HCP0076,11-Aug-2024,In-Person,
C005352,REP025,HCP0142,10/13/2024,In-Person,20.1
C005721,REP026,HCP0422,03-Jan-2024,In-Person,17.8
C000731,REP004,HCP0027,2024-05-06,In-Person,22.5
C000624,REP003,HCP0110,2024-12-23,In-Person,
C001069,REP005,HCP0186,2024-01-19,In-Person,11.0
C000709,REP004,HCP0458,03/03/2024,Virtual,12.6
C008199,REP037,HCP0382,05-Aug-2024,In-Person,18.5
C002756,REP013,HCP0584,2024-11-13,Phone,18.2
C001227,REP006,HCP0157,21-Dec-2024,In-Person ,2.1
C005518,REP025,HCP0222,16-Sep-2024,In-Person,
C002355,REP011,HCP0073,2024-02-22,In-Person,18.3
C007082,REP032,HCP0055,24-Aug-2024,In-Person,10.4
C007236,REP033,HCP0236,19-Aug-2024,In-Person,10.9
C005848,REP027,HCP0452,21-Mar-2024,In-Person,30.8
C006063,REP027,HCP0223,06/01/2024,Virtual,15.6
C004081,REP019,HCP0303,09/02/2024,In-Person,12.3
C007164,REP033,HCP0125,2024-07-02,  In-Person,27.3
C007756,REP035,HCP0195,20-Jul-2024,In-Person,15.2
C008669,REP039,HCP0576,03-May-2024,In-Person,19.3
C006687,REP030,HCP0418,21-Apr-2024,Virtual,11.7
C001666,REP008,HCP0206,10-Dec-2024,In-Person,6.8
C001198,REP006,HCP0309,15-Jun-2024,In-Person,19.6
C006675,REP030,HCP0062,2024-11-29,In-Person,22.7
C003528,REP017,HCP0178,01/11/2024,In-Person,31.1
C007162,REP033,HCP0557,2024-01-15,In-Person,18.6
C003542,REP017,HCP0273,02/04/2024,In-Person,
C008507,REP038,HCP0289,08/10/2024,In-Person,17.2
C002466,REP012,HCP0121,12/28/2024,In-Person,22.6
C004270,REP020,HCP0395,03/20/2024,Virtual,22.1
C004140,REP020,HCP0135,2024-10-19,Virtual,15.0
C007244,REP033,HCP0477,07-Dec-2024,Phone,26.1
C007211,REP033,HCP0417,18-Aug-2024,In-Person,12.0
C003838,REP018,HCP0261,22-Dec-2024,In-Person,24.3
C004763,REP022,HCP0581,26-Aug-2024,Phone,14.6
C007072,REP032,HCP0537,2024-02-07,Virtual,15.9
C003539,REP017,HCP0208,15-Apr-2024,Virtual,24.7
C007822,REP035,HCP0344,2024-10-01,Virtual,21.3
C001401,REP007,HCP0556,08/27/2024,Virtual,22.3
C008162,REP037,HCP0090,22-Jan-2024,Virtual,19.1
C003079,REP014,HCP0066,2024-11-05,Virtual,6.3
C008855,REP040,HCP0515,24-Nov-2024,In-Person,13.8
C006758,REP031,HCP0269,05-Apr-2024,In-Person,4.2
C008229,REP037,HCP0450,02/22/2024,Virtual,13.0
C001632,REP008,HCP0259,2024-08-18,Phone,13.6
C005332,REP025,HCP0375,01/06/2024,In-Person,8.9
C002479,REP012,HCP0240,11-May-2024,Virtual,26.5
C007473,REP034,HCP0503,2024-12-08,In-Person,16.7
C002859,REP013,HCP0225,12/31/2024,In-Person,11.0
C003937,REP019,HCP0314,01/16/2024,Phone,21.6
C000762,REP004,HCP0456,2024-05-21,Virtual,18.6
C004488,REP021,HCP0321,2024-10-10,In-Person,20.4
C001200,REP006,HCP0182,30-Nov-2024,In-Person,9.5
C006172,REP028,HCP0271,10-Feb-2024,Virtual,19.2
C006841,REP031,HCP0213,06/22/2024,Virtual,20.6
C008457,REP038,HCP0187,08/11/2024,In-Person,11.8
C007178,REP033,HCP0412,14-Aug-2024,  Virtual,
C001254,REP006,HCP0559,29-May-2024,In-Person,25.1
C001323,REP006,HCP0302,2024-06-05,In-Person,19.8
C000555,REP003,HCP0326,2024-12-23,Virtual,26.3
C005118,REP023,HCP0531,12/19/2024,Phone,22.2
C002064,REP010,HCP0230,11/23/2024,Phone,16.4
C000995,REP005,HCP0249,2024-04-30,Virtual,16.3
C007437,REP034,HCP0275,21-Jan-2024,Virtual,31.1
C006088,REP027,HCP0544,12-Oct-2024,In-Person,12.8
C002277,REP011,HCP0266,08-Apr-2024,Virtual,3.5
C003940,REP019,HCP0585,28-Mar-2024,Phone,12.3
C008647,REP039,HCP0520,07-Apr-2024,In-Person,17.1
C006726,REP031,HCP0127,04/07/2024,Virtual,
C004099,REP020,HCP0390,03/14/2024,In-Person,17.7
C007182,REP033,HCP0004,12-Sep-2024,Phone,19.7
C002578,REP012,HCP0172,10/03/2024,Virtual,29.5
C006340,REP029,HCP0438,22-Sep-2024,In-Person,19.2
C003081,REP014,HCP0199,2024-08-08,Virtual,13.6
C004707,REP022,HCP0282,19-Sep-2024,Virtual,19.5
C004221,REP020,HCP0460,11/07/2024,In-Person,15.1
C008431,REP038,HCP0362,06-Nov-2024,Virtual,29.3
C005630,REP026,HCP0584,2024-05-11,Virtual,19.0
C008556,REP039,HCP0083,07/31/2024,Virtual,20.9
C001733,REP008,HCP0438,11/24/2024,In-Person,22.3
C007967,REP036,HCP0094,2024-03-09,  In-Person,16.1
C006642,REP030,HCP0007,2024-07-08,In-Person,17.0
C005590,REP026,HCP0243,09-May-2024,Phone,21.0
C002698,REP013,HCP0273,2024-08-15,In-Person,25.8
C002023,REP010,HCP0035,2024-01-12,Virtual,19.0
C002030,REP010,HCP0056,01-Sep-2024,In-Person,26.8
C000222,REP001,HCP0091,30-Apr-2024,In-Person,24.6
C001407,REP007,HCP0095,2024-01-20,Phone ,16.1
C004984,REP023,HCP0430,2024-04-09,  Virtual,14.9
C000539,REP003,HCP0343,10/22/2024,  Virtual,21.6
C007263,REP033,HCP0082,29-Feb-2024,In-Person,17.1
C001616,REP008,HCP0353,2024-03-10,Phone,25.2
C008525,REP039,HCP0337,30-Aug-2024,In-Person,28.8
C001370,REP007,HCP0557,06/09/2024,In-Person,18.0
C001072,REP005,HCP0340,2024-02-13,Phone,10.2
C000120,REP001,HCP0418,2024-06-30,In-Person,8.8
C003549,REP017,HCP0286,08/20/2024,Phone,15.9
C008649,REP039,HCP0483,17-Oct-2024,Virtual,9.8
C007085,REP032,HCP0559,29-Sep-2024,Virtual,14.9
C008112,REP037,HCP0192,11/17/2024,In-Person,6.1
C004033,REP019,HCP0228,10/26/2024,In-Person,19.3
C008805,REP040,HCP0402,11-Nov-2024,Virtual,24.4
C003498,REP017,HCP0273,03/27/2024,In-Person,18.0
C001418,REP007,HCP0480,06/08/2024,In-Person,15.4
C001143,REP005,HCP0402,03/13/2024,Phone,12.1
C007184,REP033,HCP0202,06-Feb-2024,In-Person,28.5
C007330,REP033,HCP0025,10/09/2024,In-Person,11.8
C007559,REP034,HCP0446,2024-01-17,Virtual,23.2
C008246,REP037,HCP0276,24-Jun-2024,In-Person,14.7
C008637,REP039,HCP0372,30-Sep-2024,Virtual,2.0
C002664,REP013,HCP0222,2024-10-15,In-Person,23.5
C005732,REP026,HCP0506,2024-09-28,Virtual,21.1
C005662,REP026,HCP0383,29-Mar-2024,Virtual ,2.3
C007589,REP035,HCP0585,2024-05-08,In-Person,7.9
C001624,REP008,HCP0292,10/18/2024,In-Person,13.2
C008433,REP038,HCP0448,10/01/2024,In-Person,15.5
C004122,REP020,HCP0318,2024-05-30,In-Person,21.3
C003458,REP017,HCP0294,17-Apr-2024,In-Person,22.7
C000677,REP004,HCP0528,2024-05-26,In-Person,23.9
C006007,REP027,HCP0075,10/23/2024,Virtual,20.8
C006248,REP028,HCP0332,20-Dec-2024,Phone,9.7
C004429,REP021,HCP0303,2024-06-20,Virtual,13.4
C005235,REP024,HCP0183,2024-07-30,In-Person,7.4
C003008,REP014,HCP0350,10/11/2024,In-Person,23.2
C008797,REP040,HCP0223,09/25/2024,Virtual,16.1
C002861,REP013,HCP0263,07-Oct-2024,Phone,14.5
C004299,REP020,HCP0192,07/23/2024,In-Person,9.8
C002997,REP014,HCP0276,05-Feb-2024,Phone,19.3
C005350,REP025,HCP0288,05-Nov-2024,Virtual,2.7
C003568,REP017,HCP0394,10/31/2024,Phone,23.0
C005813,REP026,HCP0078,05/07/2024,In-Person,27.3
C004787,REP022,HCP0500,2024-06-28,In-Person,17.8
C000305,REP002,HCP0141,2024-01-17,Virtual,13.6
C008077,REP036,HCP0167,05/22/2024,In-Person,13.1
C006751,REP031,HCP0119,07/07/2024,  In-Person,15.7
C001298,REP006,HCP0288,02/24/2024,Virtual,36.8
C001596,REP008,HCP0225,10/08/2024,In-Person,31.4
C000669,REP004,HCP0294,2024-07-04,Phone ,27.6
C000790,REP004,HCP0546,24-May-2024,Phone,21.2
C000319,REP002,HCP0022,27-Jun-2024,In-Person,26.8
C005639,REP026,HCP0353,13-Mar-2024,Virtual,15.8
C000015,REP001,HCP0435,12/25/2024,Phone,26.1
C007355,REP033,HCP0279,2024-12-02,Virtual,21.9
C000077,REP001,HCP0017,2024-12-17,In-Person,24.3
C008388,REP038,HCP0228,2024-07-07,Virtual,13.5
C004148,REP020,HCP0588,2024-11-04,In-Person,10.0
C000654,REP004,HCP0035,11/07/2024,Virtual,31.6
C008299,REP037,HCP0363,01-Nov-2024,In-Person,21.2
C003882,REP018,HCP0083,17-Jun-2024,In-Person,21.5
C006163,REP028,HCP0355,01-Oct-2024,Virtual,14.6
C005108,REP023,HCP0132,2024-12-26,In-Person,14.1
C000510,REP003,HCP0289,30-Sep-2024,Virtual,19.5
C000089,REP001,HCP0441,23-Feb-2024,Phone,22.1
C004285,REP020,HCP0088,03-Jun-2024,In-Person,15.6
C008370,REP038,HCP0563,2024-07-26,Virtual,18.5
C002987,REP014,HCP0360,2024-12-06,In-Person,12.0
C003910,REP019,HCP0129,2024-07-01,Virtual,15.6
C005673,REP026,HCP0213,08/20/2024,Virtual,13.8
C007045,REP032,HCP0589,10-Nov-2024,In-Person ,22.9
C001163,REP005,HCP0459,2024-01-20,In-Person,24.3
C007014,REP032,HCP0224,2024-03-08,Phone,18.7
C004230,REP020,HCP0461,2024-05-16,In-Person,24.0
C002273,REP011,HCP0147,23-Jun-2024,Phone,20.5
C002989,REP014,HCP0440,20-Jan-2024,Virtual,
C006729,REP031,HCP0102,03/21/2024,Virtual,33.4
C004307,REP020,HCP0416,09/03/2024,Phone,18.4
C002311,REP011,HCP0159,2024-11-10,  In-Person,20.5
C008740,REP040,HCP0206,14-Dec-2024,Phone,6.9
C007453,REP034,HCP0006,20-Jan-2024,In-Person,33.0
C002544,REP012,HCP0558,20-Jan-2024,Virtual,39.0
C008495,REP038,HCP0262,12/12/2024,Virtual,14.9
C004330,REP020,HCP0140,04-Jan-2024,Virtual ,13.9
C003762,REP018,HCP0201,2024-07-03,In-Person,6.1
C003791,REP018,HCP0138,2024-08-12,Phone,26.1
C001394,REP007,HCP0390,28-Jan-2024,  In-Person,12.0
C002817,REP013,HCP0190,2024-01-22,In-Person,14.7
C003088,REP014,HCP0440,08-Apr-2024,In-Person,15.4
C007323,REP033,HCP0467,29-Sep-2024,Virtual,23.6
C004012,REP019,HCP0412,04/27/2024,In-Person,18.6
C005926,REP027,HCP0166,2024-11-15,In-Person,19.0
C001594,REP008,HCP0034,05-Apr-2024,In-Person,28.5
C007714,REP035,HCP0129,04/18/2024,In-Person,12.0
C006658,REP030,HCP0525,2024-12-09,In-Person,15.9
C005737,REP026,HCP0131,2024-10-25,In-Person ,24.7
C004181,REP020,HCP0026,12/14/2024,In-Person,19.3
C004610,REP021,HCP0255,10/04/2024,In-Person,19.6
C002866,REP013,HCP0357,12/21/2024,In-Person,2.9
C002184,REP011,HCP0237,12/25/2024,In-Person,16.5
C000922,REP005,HCP0036,04/03/2024,In-Person,14.1
C004687,REP021,HCP0285,09-Mar-2024,In-Person,16.6
C005831,REP026,HCP0297,2024-04-10,In-Person,23.0
C008044,REP036,HCP0592,02-Mar-2024,In-Person,6.0
C003909,REP019,HCP0376,19-May-2024,In-Person,17.3
C002884,REP013,HCP0055,01/18/2024,Virtual ,11.8
C002151,REP010,HCP0435,06/25/2024,In-Person,28.4
C008877,REP040,HCP0584,2024-04-30,In-Person,20.7
C003035,REP014,HCP0380,2024-12-25,Phone ,22.9
C000038,REP001,HCP0029,2024-02-15,Phone,16.4
C006974,REP032,HCP0576,09-Jan-2024,In-Person,20.6
C006897,REP031,HCP0117,05/30/2024,Virtual,22.4
C000020,REP001,HCP0539,2024-12-14,In-Person,22.3
C008188,REP037,HCP0377,12/03/2024,Virtual,10.1
C003064,REP014,HCP0167,07/21/2024,In-Person,2.0
C006122,REP028,HCP0393,2024-07-05,Virtual,10.7
C003334,REP016,HCP0472,31-Jan-2024,In-Person,25.2
C008303,REP037,HCP0495,03/30/2024,In-Person,19.2
C006358,REP029,HCP0395,02-Feb-2024,In-Person,21.6
C003581,REP017,HCP0302,29-Jun-2024,Virtual,21.6
C006787,REP031,HCP0313,05/02/2024,In-Person,25.8
C005280,REP024,HCP0349,01/08/2024,  In-Person,15.3
C000812,REP004,HCP0286,27-Jan-2024,Virtual,26.8
C001140,REP005,HCP0581,07/30/2024,Virtual,12.4
C007076,REP032,HCP0286,02/19/2024,In-Person,28.6
C003397,REP016,HCP0148,10-Dec-2024,  Virtual,16.0
C002628,REP012,HCP0230,09/11/2024,Phone,24.1
C003687,REP017,HCP0273,06/20/2024,In-Person,11.7
C005958,REP027,HCP0569,28-Aug-2024,In-Person,32.0
C001563,REP007,HCP0473,05/11/2024,In-Person,16.4
C005718,REP026,HCP0399,19-May-2024,In-Person,18.8
C004563,REP021,HCP0203,2024-07-27,Virtual,19.1
C004619,REP021,HCP0108,04/20/2024,In-Person,25.8
C004295,REP020,HCP0478,03-Jun-2024,In-Person,22.4
C003956,REP019,HCP0093,13-Mar-2024,In-Person,25.7
