month,sp500_nominal,sp500_real,cape,vix,gold_price,rate_10y,sp_return_m,real_return_m,volatility_12m,drawdown,year,decade
1876-07-01,4.1,124.45,,,18.94,4.52,-0.012,-0.0121,0.0648,-0.0245,1876,1870s
1876-08-01,3.93,118.17,,,18.94,4.51,-0.0415,-0.0505,0.0728,-0.0737,1876,1870s
1876-09-01,3.69,109.93,,,18.94,4.5,-0.0611,-0.0697,0.0893,-0.1383,1876,1870s
1876-10-01,3.67,107.35,,,18.94,4.49,-0.0054,-0.0235,0.0896,-0.1585,1876,1870s
1876-11-01,3.6,104.35,,,18.94,4.47,-0.0191,-0.0279,0.0839,-0.182,1876,1870s
1876-12-01,3.58,101.93,,,18.94,4.46,-0.0056,-0.0232,0.0829,-0.201,1876,1870s
1877-01-01,3.55,99.32,,,18.94,4.45,-0.0084,-0.0256,0.0734,-0.2214,1877,1870s
1877-02-01,3.34,95.95,,,18.94,4.44,-0.0592,-0.0339,0.0747,-0.2479,1877,1870s
1877-03-01,3.17,95.32,,,18.94,4.43,-0.0509,-0.0066,0.0746,-0.2528,1877,1870s
1877-04-01,2.94,85.99,,,18.94,4.42,-0.0726,-0.0979,0.0864,-0.3259,1877,1870s
1877-05-01,2.94,84.46,,,18.94,4.41,0.0,-0.0178,0.0917,-0.3379,1877,1870s
1877-06-01,2.73,82.87,,,18.94,4.4,-0.0714,-0.0188,0.0976,-0.3504,1877,1870s
1877-07-01,2.85,85.7,,,18.94,4.39,0.044,0.0341,0.1239,-0.3282,1877,1870s
1877-08-01,3.05,95.27,,,18.94,4.39,0.0702,0.1117,0.1576,-0.2532,1877,1870s
1877-09-01,3.24,102.2,,,18.94,4.38,0.0623,0.0727,0.1702,-0.1989,1877,1870s
1877-10-01,3.31,104.41,,,18.94,4.37,0.0216,0.0216,0.1731,-0.1815,1877,1870s
1877-11-01,3.26,104.89,,,18.94,4.36,-0.0151,0.0046,0.1728,-0.1778,1877,1870s
1877-12-01,3.25,104.57,,,18.94,4.35,-0.0031,-0.0031,0.1729,-0.1803,1877,1870s
1878-01-01,3.25,107.8,,,18.94,4.34,0.0,0.0309,0.173,-0.155,1878,1870s
1878-02-01,3.18,106.58,,,18.94,4.33,-0.0215,-0.0113,0.1643,-0.1645,1878,1870s
1878-03-01,3.24,110.9,,,18.94,4.32,0.0189,0.0405,0.1568,-0.1307,1878,1870s
1878-04-01,3.33,115.21,,,18.94,4.31,0.0278,0.0389,0.1348,-0.0969,1878,1870s
1878-05-01,3.34,119.4,,,18.94,4.3,0.003,0.0364,0.1345,-0.064,1878,1870s
1878-06-01,3.41,124.68,,,18.94,4.29,0.021,0.0442,0.0997,-0.0227,1878,1870s
1878-07-01,3.48,125.81,,,18.94,4.28,0.0205,0.0091,0.096,-0.0138,1878,1870s
1878-08-01,3.45,123.34,,,18.94,4.27,-0.0086,-0.0196,0.0794,-0.0332,1878,1870s
1878-09-01,3.52,125.84,,,18.94,4.26,0.0203,0.0203,0.0577,-0.0136,1878,1870s
1878-10-01,3.48,125.81,,,18.94,4.25,-0.0114,-0.0002,0.0581,-0.0138,1878,1870s
1878-11-01,3.47,126.87,,,18.94,4.24,-0.0029,0.0084,0.0548,-0.0055,1878,1870s
1878-12-01,3.45,129.07,,,18.94,4.23,-0.0058,0.0173,0.0553,0.0,1878,1870s
1879-01-01,3.58,132.4,,,18.94,4.22,0.0377,0.0258,0.0637,0.0,1879,1870s
1879-02-01,3.71,135.64,,,18.94,4.2,0.0363,0.0245,0.0604,0.0,1879,1870s
1879-03-01,3.65,134.99,,,18.94,4.19,-0.0162,-0.0048,0.0666,-0.0048,1879,1870s
1879-04-01,3.77,141.04,,,18.94,4.17,0.0329,0.0448,0.0682,0.0,1879,1870s
1879-05-01,3.94,147.4,,,18.94,4.15,0.0451,0.0451,0.0757,0.0,1879,1870s
1879-06-01,3.96,149.9,,,18.94,4.14,0.0051,0.017,0.0758,0.0,1879,1870s
1879-07-01,4.04,151.15,,,18.94,4.12,0.0202,0.0083,0.0758,0.0,1879,1870s
1879-08-01,4.07,152.27,,,18.94,4.1,0.0074,0.0074,0.0725,0.0,1879,1870s
1879-09-01,4.22,152.56,,,18.94,4.09,0.0369,0.0019,0.0758,0.0,1879,1870s
1879-10-01,4.68,160.19,,,18.94,4.07,0.109,0.05,0.1149,0.0,1879,1870s
1879-11-01,4.93,160.22,,,18.94,4.05,0.0534,0.0002,0.1135,0.0,1879,1870s
1879-12-01,4.92,155.2,,,18.94,4.04,-0.002,-0.0313,0.1123,-0.0313,1879,1870s
1880-01-01,5.11,156.58,,,18.94,4.02,0.0386,0.0089,0.1123,-0.0227,1880,1880s
1880-02-01,5.2,159.34,,,18.94,3.99,0.0176,0.0176,0.1128,-0.0055,1880,1880s
1880-03-01,5.3,160.87,,,18.94,3.97,0.0192,0.0096,0.1025,0.0,1880,1880s
1880-04-01,5.18,163.4,,,18.94,3.94,-0.0226,0.0157,0.1161,0.0,1880,1880s
1880-05-01,4.77,155.02,,,18.94,3.91,-0.0792,-0.0513,0.1552,-0.0513,1880,1880s
1880-06-01,4.79,158.88,,,18.94,3.89,0.0042,0.0249,0.1553,-0.0277,1880,1880s
1880-07-01,5.01,166.18,,,18.94,3.86,0.0459,0.0459,0.158,0.0,1880,1880s
1880-08-01,5.19,172.15,,,18.94,3.83,0.0359,0.0359,0.1583,0.0,1880,1880s
1880-09-01,5.18,170.07,,,18.94,3.81,-0.0019,-0.0121,0.1589,-0.0121,1880,1880s
1880-10-01,5.33,174.99,,,18.94,3.78,0.029,0.0289,0.1257,0.0,1880,1880s
1880-11-01,5.61,182.32,,,18.94,3.75,0.0525,0.0419,0.1253,0.0,1880,1880s
1880-12-01,5.84,187.9,,,18.94,3.73,0.041,0.0306,0.1277,0.0,1880,1880s
1881-01-01,6.19,201.17,18.47,,18.94,3.7,0.0599,0.0706,0.1336,0.0,1881,1880s
1881-02-01,6.17,198.52,18.15,,18.94,3.69,-0.0032,-0.0132,0.1351,-0.0132,1881,1880s
1881-03-01,6.24,200.77,18.27,,18.94,3.69,0.0113,0.0113,0.1351,-0.002,1881,1880s
1881-04-01,6.22,198.15,17.95,,18.94,3.68,-0.0032,-0.013,0.1306,-0.015,1881,1880s
1881-05-01,6.5,209.13,18.87,,18.94,3.67,0.045,0.0554,0.0817,0.0,1881,1880s
1881-06-01,6.58,211.71,19.03,,18.94,3.67,0.0123,0.0123,0.0797,0.0,1881,1880s
1881-07-01,6.35,202.29,18.12,,18.94,3.66,-0.035,-0.0445,0.0978,-0.0445,1881,1880s
1881-08-01,6.2,193.67,17.29,,18.94,3.65,-0.0236,-0.0426,0.1053,-0.0852,1881,1880s
1881-09-01,6.25,187.94,16.72,,18.94,3.65,0.0081,-0.0296,0.1039,-0.1123,1881,1880s
1881-10-01,6.15,183.22,16.26,,18.94,3.64,-0.016,-0.0251,0.1076,-0.1346,1881,1880s
1881-11-01,6.19,186.13,16.48,,18.94,3.63,0.0065,0.0159,0.0983,-0.1208,1881,1880s
1881-12-01,6.01,180.72,15.96,,18.94,3.63,-0.0291,-0.0291,0.0981,-0.1464,1881,1880s
1882-01-01,5.92,178.01,15.68,,18.94,3.62,-0.015,-0.015,0.0767,-0.1592,1882,1880s
1882-02-01,5.79,172.49,15.15,,18.94,3.62,-0.022,-0.031,0.0789,-0.1853,1882,1880s
1882-03-01,5.78,172.19,15.09,,18.94,3.62,-0.0017,-0.0017,0.077,-0.1867,1882,1880s
1882-04-01,5.78,170.61,14.92,,18.94,3.62,0.0,-0.0092,0.0772,-0.1941,1882,1880s
1882-05-01,5.71,167.02,14.57,,18.94,3.62,-0.0121,-0.021,0.0537,-0.2111,1882,1880s
1882-06-01,5.68,164.64,14.33,,18.94,3.62,-0.0053,-0.0142,0.0481,-0.2223,1882,1880s
1882-07-01,6.0,175.5,15.24,,18.94,3.62,0.0563,0.066,0.078,-0.171,1882,1880s
1882-08-01,6.18,179.13,15.53,,18.94,3.63,0.03,0.0207,0.082,-0.1539,1882,1880s
1882-09-01,6.24,185.9,16.08,,18.94,3.63,0.0097,0.0378,0.0822,-0.1219,1882,1880s
1882-10-01,6.07,182.52,15.76,,18.94,3.63,-0.0272,-0.0182,0.0853,-0.1379,1882,1880s
1882-11-01,5.81,176.35,15.19,,18.94,3.63,-0.0428,-0.0338,0.0945,-0.167,1882,1880s
1882-12-01,5.84,178.95,15.38,,18.94,3.63,0.0052,0.0147,0.0911,-0.1547,1882,1880s
1883-01-01,5.81,178.03,15.27,,18.94,3.63,-0.0051,-0.0051,0.0901,-0.1591,1883,1880s
1883-02-01,5.68,172.41,14.76,,18.94,3.63,-0.0224,-0.0316,0.0902,-0.1856,1883,1880s
1883-03-01,5.75,176.19,15.05,,18.94,3.63,0.0123,0.0219,0.0912,-0.1678,1883,1880s
1883-04-01,5.87,181.6,15.48,,18.94,3.63,0.0209,0.0307,0.0936,-0.1422,1883,1880s
1883-05-01,5.77,180.24,15.34,,18.94,3.63,-0.017,-0.0075,0.0945,-0.1486,1883,1880s
1883-06-01,5.82,187.26,15.9,,18.94,3.63,0.0087,0.0389,0.0945,-0.1155,1883,1880s
1883-07-01,5.73,188.12,15.95,,18.94,3.62,-0.0155,0.0046,0.075,-0.1114,1883,1880s
1883-08-01,5.47,179.59,15.2,,18.94,3.62,-0.0454,-0.0453,0.076,-0.1517,1883,1880s
1883-09-01,5.53,183.43,15.49,,18.94,3.62,0.011,0.0214,0.0764,-0.1336,1883,1880s
1883-10-01,5.38,178.45,15.05,,18.94,3.62,-0.0271,-0.0271,0.0764,-0.1571,1883,1880s
1883-11-01,5.46,182.99,15.41,,18.94,3.62,0.0149,0.0254,0.0707,-0.1357,1883,1880s
1883-12-01,5.34,177.13,14.9,,18.94,3.62,-0.022,-0.032,0.0717,-0.1633,1883,1880s
1884-01-01,5.18,171.82,14.43,,18.94,3.62,-0.03,-0.03,0.0751,-0.1884,1884,1880s
1884-02-01,5.32,176.46,14.81,,18.94,3.61,0.027,0.027,0.0817,-0.1665,1884,1880s
1884-03-01,5.3,175.8,14.74,,18.94,3.6,-0.0038,-0.0037,0.0795,-0.1696,1884,1880s
1884-04-01,5.06,171.37,14.35,,18.94,3.59,-0.0453,-0.0252,0.0821,-0.1905,1884,1880s
1884-05-01,4.65,160.87,13.47,,18.94,3.59,-0.081,-0.0613,0.1074,-0.2401,1884,1880s
1884-06-01,4.46,154.3,12.91,,18.94,3.58,-0.0409,-0.0408,0.1057,-0.2712,1884,1880s
1884-07-01,4.46,155.98,13.04,,18.94,3.57,0.0,0.0109,0.1078,-0.2632,1884,1880s
1884-08-01,4.74,165.77,13.86,,18.94,3.56,0.0628,0.0628,0.1318,-0.217,1884,1880s
1884-09-01,4.59,162.29,13.57,,18.94,3.55,-0.0316,-0.021,0.1309,-0.2334,1884,1880s
1884-10-01,4.44,158.73,13.27,,18.94,3.54,-0.0327,-0.0219,0.1316,-0.2502,1884,1880s
1884-11-01,4.35,159.04,13.3,,18.94,3.54,-0.0203,0.002,0.1274,-0.2488,1884,1880s
1884-12-01,4.34,160.5,13.43,,18.94,3.53,-0.0023,0.0092,0.1283,-0.2419,1884,1880s
1885-01-01,4.24,156.8,13.13,,18.94,3.52,-0.023,-0.0231,0.1277,-0.2594,1885,1880s
1885-02-01,4.37,159.78,13.38,,18.94,3.51,0.0307,0.019,0.1291,-0.2453,1885,1880s
1885-03-01,4.38,163.87,13.73,,18.94,3.5,0.0023,0.0256,0.1298,-0.226,1885,1880s
1885-04-01,4.37,161.61,13.55,,18.94,3.48,-0.0023,-0.0138,0.126,-0.2366,1885,1880s
1885-05-01,4.32,163.52,13.71,,18.94,3.47,-0.0114,0.0118,0.1008,-0.2276,1885,1880s
1885-06-01,4.3,166.69,13.98,,18.94,3.46,-0.0046,0.0194,0.0933,-0.2126,1885,1880s
1885-07-01,4.46,170.83,14.33,,18.94,3.44,0.0372,0.0248,0.1015,-0.1931,1885,1880s
1885-08-01,4.71,180.41,15.13,,18.94,3.43,0.0561,0.0561,0.0971,-0.1478,1885,1880s
1885-09-01,4.65,180.26,15.12,,18.94,3.42,-0.0127,-0.0008,0.0921,-0.1486,1885,1880s
1885-10-01,4.92,190.72,15.99,,18.94,3.41,0.0581,0.058,0.0999,-0.0991,1885,1880s
1885-11-01,5.24,200.71,16.82,,18.94,3.4,0.065,0.0524,0.1087,-0.052,1885,1880s
1885-12-01,5.2,194.54,16.3,,18.94,3.38,-0.0076,-0.0307,0.1098,-0.0811,1885,1880s
1886-01-01,5.2,199.18,16.69,,18.94,3.37,0.0,0.0239,0.1032,-0.0592,1886,1880s
1886-02-01,5.3,203.01,17.01,,18.94,3.38,0.0192,0.0192,0.1022,-0.0411,1886,1880s
1886-03-01,5.19,201.19,16.84,,18.94,3.4,-0.0208,-0.009,0.1082,-0.0497,1886,1880s
1886-04-01,5.12,200.9,16.8,,18.94,3.41,-0.0135,-0.0014,0.1106,-0.0511,1886,1880s
1886-05-01,5.02,201.9,16.86,,18.94,3.42,-0.0195,0.005,0.1129,-0.0463,1886,1880s
1886-06-01,5.25,213.82,17.83,,18.94,3.43,0.0458,0.059,0.1155,0.0,1886,1880s
1886-07-01,5.33,214.36,17.85,,18.94,3.44,0.0152,0.0025,0.1135,0.0,1886,1880s
1886-08-01,5.37,213.31,17.72,,18.94,3.46,0.0075,-0.0049,0.1045,-0.0049,1886,1880s
1886-09-01,5.51,218.87,18.15,,18.94,3.47,0.0261,0.0261,0.1019,0.0,1886,1880s
1886-10-01,5.65,224.43,18.56,,18.94,3.48,0.0254,0.0254,0.0914,0.0,1886,1880s
1886-11-01,5.79,229.99,18.97,,18.94,3.5,0.0248,0.0248,0.0729,0.0,1886,1880s
1886-12-01,5.64,221.3,18.19,,18.94,3.51,-0.0259,-0.0378,0.0793,-0.0378,1886,1880s
1887-01-01,5.58,213.73,17.51,,18.94,3.52,-0.0106,-0.0342,0.0811,-0.0707,1887,1880s
1887-02-01,5.54,209.7,17.13,,18.94,3.53,-0.0072,-0.0189,0.0807,-0.0882,1887,1880s
1887-03-01,5.67,214.62,17.47,,18.94,3.55,0.0235,0.0235,0.078,-0.0668,1887,1880s
1887-04-01,5.8,219.54,17.82,,18.94,3.56,0.0229,0.0229,0.0757,-0.0454,1887,1880s
1887-05-01,5.9,223.33,18.08,,18.94,3.57,0.0172,0.0173,0.0683,-0.029,1887,1880s
1887-06-01,5.73,219.48,17.71,,18.94,3.58,-0.0288,-0.0172,0.0708,-0.0457,1887,1880s
1887-07-01,5.59,216.69,17.43,,18.94,3.59,-0.0244,-0.0127,0.0769,-0.0578,1887,1880s
1887-08-01,5.45,208.75,16.74,,18.94,3.61,-0.025,-0.0366,0.0821,-0.0924,1887,1880s
1887-09-01,5.38,208.55,16.68,,18.94,3.62,-0.0128,-0.001,0.0785,-0.0932,1887,1880s
1887-10-01,5.2,199.18,15.88,,18.94,3.63,-0.0335,-0.0449,0.0784,-0.134,1887,1880s
1887-11-01,5.3,200.62,15.95,,18.94,3.65,0.0192,0.0072,0.0761,-0.1277,1887,1880s
1887-12-01,5.27,194.9,15.46,,18.94,3.66,-0.0057,-0.0285,0.0733,-0.1526,1887,1880s
1888-01-01,5.31,194.14,15.36,,18.94,3.67,0.0076,-0.0039,0.0741,-0.1559,1888,1880s
1888-02-01,5.28,195.27,15.42,,18.94,3.65,-0.0056,0.0058,0.0741,-0.151,1888,1880s
1888-03-01,5.08,187.87,14.81,,18.94,3.63,-0.0379,-0.0379,0.0749,-0.1831,1888,1880s
1888-04-01,5.1,190.8,15.02,,18.94,3.62,0.0039,0.0156,0.0682,-0.1704,1888,1880s
1888-05-01,5.17,195.7,15.39,,18.94,3.6,0.0137,0.0257,0.0667,-0.1491,1888,1880s
1888-06-01,5.01,191.9,15.08,,18.94,3.58,-0.0309,-0.0194,0.0673,-0.1656,1888,1880s
1888-07-01,5.14,194.56,15.28,,18.94,3.56,0.0259,0.0139,0.0748,-0.1541,1888,1880s
1888-08-01,5.25,198.73,15.6,,18.94,3.54,0.0214,0.0214,0.0768,-0.1359,1888,1880s
1888-09-01,5.38,203.65,15.99,,18.94,3.52,0.0248,0.0248,0.0806,-0.1145,1888,1880s
1888-10-01,5.35,200.16,15.72,,18.94,3.5,-0.0056,-0.0171,0.0722,-0.1297,1888,1880s
1888-11-01,5.24,193.79,15.22,,18.94,3.49,-0.0206,-0.0318,0.0732,-0.1574,1888,1880s
1888-12-01,5.14,190.09,14.95,,18.94,3.47,-0.0191,-0.0191,0.0754,-0.1735,1888,1880s
1889-01-01,5.24,200.71,15.8,,18.93,3.45,0.0195,0.0559,0.0779,-0.1273,1889,1880s
1889-02-01,5.3,205.45,16.19,,18.93,3.45,0.0115,0.0236,0.0786,-0.1067,1889,1880s
1889-03-01,5.19,203.64,16.07,,18.93,3.44,-0.0208,-0.0088,0.071,-0.1146,1889,1880s
1889-04-01,5.18,203.25,16.05,,18.93,3.44,-0.0019,-0.0019,0.071,-0.1163,1889,1880s
1889-05-01,5.32,213.96,16.92,,18.93,3.44,0.027,0.0527,0.0747,-0.0697,1889,1880s
1889-06-01,5.41,217.58,17.22,,18.93,3.44,0.0169,0.0169,0.0661,-0.054,1889,1880s
1889-07-01,5.3,213.16,16.89,,18.93,3.44,-0.0203,-0.0203,0.0675,-0.0732,1889,1880s
1889-08-01,5.37,215.97,17.13,,18.93,3.43,0.0132,0.0132,0.0655,-0.061,1889,1880s
1889-09-01,5.5,218.47,17.35,,18.93,3.43,0.0242,0.0116,0.0653,-0.0501,1889,1880s
1889-10-01,5.4,214.5,17.05,,18.93,3.43,-0.0182,-0.0182,0.068,-0.0674,1889,1880s
1889-11-01,5.35,212.51,16.91,,18.93,3.43,-0.0093,-0.0093,0.065,-0.076,1889,1880s
1889-12-01,5.32,208.74,16.61,,18.93,3.42,-0.0056,-0.0177,0.0616,-0.0924,1889,1880s
1890-01-01,5.38,216.37,17.22,,18.94,3.42,0.0113,0.0366,0.0597,-0.0592,1890,1890s
1890-02-01,5.32,213.96,17.03,,18.94,3.44,-0.0112,-0.0111,0.0602,-0.0697,1890,1890s
1890-03-01,5.28,212.35,16.9,,18.94,3.45,-0.0075,-0.0075,0.0565,-0.0767,1890,1890s
1890-04-01,5.39,216.78,17.26,,18.94,3.47,0.0208,0.0209,0.0594,-0.0574,1890,1890s
1890-05-01,5.62,223.24,17.79,,18.94,3.49,0.0427,0.0298,0.0677,-0.0293,1890,1890s
1890-06-01,5.58,221.65,17.68,,18.94,3.5,-0.0071,-0.0071,0.0672,-0.0363,1890,1890s
1890-07-01,5.54,220.06,17.59,,18.94,3.52,-0.0072,-0.0072,0.0635,-0.0432,1890,1890s
1890-08-01,5.41,207.22,16.6,,18.94,3.54,-0.0235,-0.0583,0.068,-0.099,1890,1890s
1890-09-01,5.32,201.38,16.17,,18.94,3.55,-0.0166,-0.0282,0.0649,-0.1244,1890,1890s
1890-10-01,5.08,192.29,15.48,,18.94,3.57,-0.0451,-0.0451,0.0765,-0.1639,1890,1890s
1890-11-01,4.71,182.58,14.75,,18.94,3.59,-0.0728,-0.0505,0.1025,-0.2061,1890,1890s
1890-12-01,4.6,178.32,14.44,,18.94,3.6,-0.0234,-0.0233,0.1032,-0.2247,1890,1890s
1891-01-01,4.84,189.91,15.43,,18.96,3.62,0.0522,0.065,0.1198,-0.1743,1891,1890s
1891-02-01,4.9,189.95,15.48,,18.96,3.62,0.0124,0.0002,0.1215,-0.1741,1891,1890s
1891-03-01,4.81,184.24,15.05,,18.96,3.62,-0.0184,-0.0301,0.1221,-0.1989,1891,1890s
1891-04-01,4.97,188.13,15.41,,18.96,3.61,0.0333,0.0211,0.1258,-0.182,1891,1890s
1891-05-01,4.95,189.6,15.57,,18.96,3.61,-0.004,0.0078,0.1142,-0.1756,1891,1890s
1891-06-01,4.85,190.3,15.66,,18.96,3.61,-0.0202,0.0037,0.1145,-0.1726,1891,1890s
1891-07-01,4.77,189.47,15.62,,18.96,3.61,-0.0165,-0.0044,0.1146,-0.1762,1891,1890s
1891-08-01,4.93,195.83,16.16,,18.96,3.61,0.0335,0.0336,0.1222,-0.1485,1891,1890s
1891-09-01,5.33,214.36,17.71,,18.96,3.61,0.0811,0.0946,0.1499,-0.068,1891,1890s
1891-10-01,5.33,214.36,17.72,,18.96,3.6,0.0,0.0,0.1413,-0.068,1891,1890s
1891-11-01,5.25,213.82,17.67,,18.96,3.6,-0.015,-0.0025,0.1163,-0.0703,1891,1890s
1891-12-01,5.41,220.34,18.21,,18.96,3.6,0.0305,0.0305,0.112,-0.042,1891,1890s
1892-01-01,5.51,230.24,19.02,,18.96,3.6,0.0185,0.0449,0.1043,0.0,1892,1890s
1892-02-01,5.52,230.65,19.04,,18.96,3.61,0.0018,0.0018,0.1047,0.0,1892,1890s
